action_state_id,state_name,state_description,attack_id,vlookup_debug,state_category,attack_type,direction
0202,PassiveWall,Wall tech,,None,knockdown,,
0203,PassiveWallJump,Walljump tech/plain walljump,,None,knockdown,,
0204,PassiveCeil,Ceiling tech,,None,knockdown,,
0205,ShieldBreakFly,,,None,shield,,
0206,ShieldBreakFall,,,None,shield,,
0207,ShieldBreakDownU,,,None,shield,,
0208,ShieldBreakDownD,,,None,shield,,
0209,ShieldBreakStandU,,,None,shield,,
0210,ShieldBreakStandD,,,None,shield,,
0211,FuraFura,Shield-break tottering,,None,shield,,
0212,Catch,Grab,,None,attack,grab,Neutral
0213,CatchPull,Successfully grabbing a character - pulling them in,,None,attack,,
0214,CatchDash,,,None,attack,grab,Dash
0215,CatchDashPull,,,None,attack,,
0216,CatchWait,Grabbing and holding a character,,None,attack,,
0217,CatchAttack,Pummel,52,Pummel,attack,,
0218,CatchCut,When opponent breaks of a character's grab,,None,attack,,
0219,ThrowF,Forward throw,53,Forward Throw,attack,throw,Forward
0220,ThrowB,Back throw,54,Back Throw,attack,throw,Back
0221,ThrowHi,Up throw,55,Up Throw,attack,throw,Up
0222,ThrowLw,Down throw,56,Down Throw,attack,throw,Down
0223,CapturePulledHi,,,None,attack,,
0224,CaptureWaitHi,,,None,attack,,
0225,CaptureDamageHi,,,None,attack,,
0226,CapturePulledLw,Becoming grabbed,,None,hurt,,
0227,CaptureWaitLw,When grabbed,,None,hurt,,
0228,CaptureDamageLw,Pummeled,,None,hurt,,
0229,CaptureCut,Grab release,,None,hurt,,
0230,CaptureJump,Jumping mash out of grab,,None,hurt,,
0231,CaptureNeck,Does not appear to be used,,None,hurt,,
0232,CaptureFoot,Does not appear to be used,,None,hurt,,
0233,EscapeF,roll forward,,None,shield,,
0234,EscapeB,roll backward,,None,shield,,
0235,Escape,spotdodge,,None,shield,,
0236,EscapeAir,airdodge,,None,,,
0237,ReboundStop,,,None,,,
0238,Rebound,,,None,,,
0239,ThrownF,Thrown forward,,None,hurt,,
0240,ThrownB,Thrown backward,,None,hurt,,
0241,ThrownHi,Thrown up,,None,hurt,,
0242,ThrownLw,Thrown down,,None,hurt,,
0243,ThrownLwWomen,Thrown down as a female character,,None,hurt,,
0244,Pass,Drop through platform,,None,,,
0245,Ottotto,Ledge teeter,,None,,,
0246,OttottoWait,,,None,,,
0247,FlyReflectWall,Missed walltech,,None,,,
0248,FlyReflectCeil,Missed ceiling tech,,None,,,
0249,StopWall,Wall bonk,,None,,,
0250,StopCeil,Ceiling bonk,,None,,,
0251,MissFoot,Backward shield slideoff,,None,,,
0252,CliffCatch,Catching the ledge,,None,ledge,,
0253,CliffWait,Hanging on the ledge,,None,ledge,,
0254,CliffClimbSlow,Climbing the ledge (100%+),,None,ledge,,
0255,CliffClimbQuick,Climbing the ledge (<100%),,None,ledge,,
0256,CliffAttackSlow,Ledge attack (100%+),61,Ledge Get Up Attack 100%+,ledge,,
0257,CliffAttackQuick,Ledge attack (<100%),62,Ledge Get Up Attack,ledge,,
0258,CliffEscapeSlow,Ledge roll (100%+),,None,ledge,,
0259,CliffEscapeQuick,Ledge roll (<100%),,None,ledge,,
0260,CliffJumpSlow1,Ledge jump/tournament winner (100%+),,None,ledge,,
0261,CliffJumpSlow2,Ledge jump/tournament winner (100%+),,None,ledge,,
0262,CliffJumpQuick1,Ledge jump/tournament winner (<100%),,None,ledge,,
0263,CliffJumpQuick2,Ledge jump/tournament winner (<100%),,None,ledge,,
0264,AppealR,Taunt right,,None,taunt,,
0265,AppealL,Taunt left,,None,taunt,,
0266,ShoulderedWait,DK carry,,None,,,
0267,ShoulderedWalkSlow,,,None,,,
0268,ShoulderedWalkMiddle,,,None,,,
0269,ShoulderedWalkFast,,,None,,,
0270,ShoulderedTurn,,,None,,,
0271,ThrownFF,DK carry throws,,None,,,
0272,ThrownFB,,,None,,,
0273,ThrownFHi,,,None,,,
0274,ThrownFLw,,,None,,,
0275,CaptureCaptain,,,None,,,
0276,CaptureYoshi,,,None,,,
0277,YoshiEgg,,,None,,,
0278,CaptureKoopa,,,None,,,
0279,CaptureDamageKoopa,,,None,,,
0280,CaptureWaitKoopa,,,None,,,
0281,ThrownKoopaF,,,None,,,
0282,ThrownKoopaB,,,None,,,
0283,CaptureKoopaAir,,,None,,,
0284,CaptureDamageKoopaAir,,,None,,,
0285,CaptureWaitKoopaAir,,,None,,,
0286,ThrownKoopaAirF,,,None,,,
0287,ThrownKoopaAirB,,,None,,,
0288,CaptureKirby,,,None,,,
0289,CaptureWaitKirby,,,None,,,
0290,ThrownKirbyStar,,,None,,,
0291,ThrownCopyStar,,,None,,,
0292,ThrownKirby,,,None,,,
0293,BarrelWait,,,None,,,
0294,Bury,Stuck in ground by DK side B or similar,,None,knockdown,,
0295,BuryWait,,,None,knockdown,,
0296,BuryJump,,,None,knockdown,,
0297,DamageSong,Put to sleep by Jigglypuff up B or similar,,None,knockdown,,
0298,DamageSongWait,,,None,knockdown,,
0299,DamageSongRv,,,None,knockdown,,
0300,DamageBind,Hit by Mewtwo's Disable,,None,knockdown,,
0301,CaptureMewtwo,Does not appear to be used,,None,unused,,
0302,CaptureMewtwoAir,Does not appear to be used,,None,unused,,
0303,ThrownMewtwo,Hit by Mewtwo's Confusion,,None,knockdown,,
0304,ThrownMewtwoAir,Hit by Mewtwo's Confusion,,None,knockdown,,
0305,WarpStarJump,,1,Non-Staling,item,,
0306,WarpStarFall,,1,Non-Staling,item,,
0307,HammerWait,,93,Hammer,item,,
0308,HammerWalk,,93,Hammer,item,,
0309,HammerTurn,,93,Hammer,item,,
0310,HammerKneeBend,,93,Hammer,item,,
0311,HammerFall,,93,Hammer,item,,
0312,HammerJump,,93,Hammer,item,,
0313,HammerLanding,,93,Hammer,item,,
0314,KinokoGiantStart,Super/Poison mushroom states,,None,no_control,,
0315,KinokoGiantStartAir,,,None,no_control,,
0316,KinokoGiantEnd,,,None,no_control,,
0317,KinokoGiantEndAir,,,None,no_control,,
0318,KinokoSmallStart,,,None,no_control,,
0319,KinokoSmallStartAir,,,None,no_control,,
0320,KinokoSmallEnd,,,None,no_control,,
0321,KinokoSmallEndAir,,,None,no_control,,
0322,Entry,Warp in at beginning of match.,,None,no_control,,
0323,EntryStart,,,None,no_control,,
0324,EntryEnd,,,None,no_control,,
0325,DamageIce,,,None,no_control,,
0326,DamageIceJump,,,None,no_control,,
0327,CaptureMasterhand,,,None,no_control,,
0328,CapturedamageMasterhand,,,None,no_control,,
0329,CapturewaitMasterhand,,,None,no_control,,
0330,ThrownMasterhand,,,None,no_control,,
0331,CaptureKirbyYoshi,,,None,,,
0332,KirbyYoshiEgg,,,None,,,
0333,CaptureLeadead,,,None,,,
0334,CaptureLikelike,,,None,,,
0335,DownReflect,A very rare action state where the character transitions from a DownBoundU or DownBoundD (missed tech) state into a wall bounce. This state is not techable and neither is the probable next floor hit. Most commonly encountered on Pokémon Stadium,,None,knockdown,,
0336,CaptureCrazyhand,,,None,no_control,,
0337,CapturedamageCrazyhand,,,None,no_control,,
0338,CapturewaitCrazyhand,,,None,no_control,,
0339,ThrownCrazyhand,,,None,no_control,,
0340,BarrelCannonWait,,,None,no_control,,
0341,Wait1,"No general action states at this point or later are used, it's all character-specific action states",,None,,,
0342,Wait2,,,None,,,
0343,Wait3,,,None,,,
0344,Wait4,,,None,,,
0345,WaitItem,,,None,,,
0346,SquatWait1,,,None,,,
0347,SquatWait2,,,None,,,
0348,SquatWaitItem,,,None,,,
0349,GuardDamage,,,None,,,
0350,EscapeN,,,None,,,
0351,AttackS4Hold,,,None,,,
0352,HeavyWalk1,,,None,,,
0353,HeavyWalk2,,,None,,,
0354,ItemHammerWait,,,None,,,
0355,ItemHammerMove,,,None,,,
0356,ItemBlind,,,None,,,
0357,DamageElec,,,None,,,
0358,FuraSleepStart,,,None,,,
0359,FuraSleepLoop,,,None,,,
0360,FuraSleepEnd,,,None,,,
0361,WallDamage,,,None,,,
0362,CliffWait1,,,None,,,
0363,CliffWait2,,,None,,,
0364,SlipDown,,,None,,,
0365,Slip,,,None,,,
0366,SlipTurn,,,None,,,
0367,SlipDash,,,None,,,
0368,SlipWait,,,None,,,
0369,SlipStand,,,None,,,
0370,SlipAttack,,,None,,,
0371,SlipEscapeF,,,None,,,
0372,SlipEscapeB,,,None,,,
0373,AppealS,,,None,,,
0374,Zitabata,,,None,,,
0375,CaptureKoopaHit,,,None,,,
0376,ThrownKoopaEndF,,,None,,,
0377,ThrownKoopaEndB,,,None,,,
0378,CaptureKoopaAirHit,,,None,,,
0379,ThrownKoopaAirEndF,,,None,,,
0380,ThrownKoopaAirEndB,,,None,,,
0381,ThrownKirbyDrinkSShot,,,None,,,
0382,ThrownKirbySpitSShot,,,None,,,
